"year","Obs_sd","treatment_scen","Model","C_val"
1989,5.69089288908164,"Crop Rotation","Observed",24.92875
1989,NA,"Crop Rotation","APSIM",21.7
1989,NA,"Crop Rotation","Daycent",22.1
1989,NA,"Crop Rotation","RothC",25.4761
1989,NA,"Crop Rotation","Millennial",21.6583537962484
1990,NA,"Crop Rotation","Observed",NA
1990,NA,"Crop Rotation","APSIM",21.8
1990,NA,"Crop Rotation","Daycent",22.1
1990,NA,"Crop Rotation","RothC",25.4799
1990,NA,"Crop Rotation","Millennial",21.7006897519048
1991,5.15806740698491,"Crop Rotation","Observed",23.44875
1991,NA,"Crop Rotation","APSIM",22.2
1991,NA,"Crop Rotation","Daycent",22.3
1991,NA,"Crop Rotation","RothC",25.2807
1991,NA,"Crop Rotation","Millennial",22.3584048544382
1992,4.31926469436639,"Crop Rotation","Observed",21.7375
1992,NA,"Crop Rotation","APSIM",22.3
1992,NA,"Crop Rotation","Daycent",22.5
1992,NA,"Crop Rotation","RothC",25.3847
1992,NA,"Crop Rotation","Millennial",21.9397148085348
1993,1.14303953343705,"Crop Rotation","Observed",7.16875
1993,NA,"Crop Rotation","APSIM",22.6
1993,NA,"Crop Rotation","Daycent",22.8
1993,NA,"Crop Rotation","RothC",25.1716
1993,NA,"Crop Rotation","Millennial",22.9244357659306
1994,4.84288518086068,"Crop Rotation","Observed",23.35625
1994,NA,"Crop Rotation","APSIM",22.7
1994,NA,"Crop Rotation","Daycent",22.7
1994,NA,"Crop Rotation","RothC",25.17
1994,NA,"Crop Rotation","Millennial",22.8814892814659
1995,5.62716358390264,"Crop Rotation","Observed",23.0325
1995,NA,"Crop Rotation","APSIM",23
1995,NA,"Crop Rotation","Daycent",22.8
1995,NA,"Crop Rotation","RothC",25.1013
1995,NA,"Crop Rotation","Millennial",23.3821714505701
1996,2.61154875026295,"Crop Rotation","Observed",23.63375
1996,NA,"Crop Rotation","APSIM",23.1
1996,NA,"Crop Rotation","Daycent",22.9
1996,NA,"Crop Rotation","RothC",24.9301
1996,NA,"Crop Rotation","Millennial",23.4222489934757
1997,4.7245682342411,"Crop Rotation","Observed",21.7375
1997,NA,"Crop Rotation","APSIM",23.3
1997,NA,"Crop Rotation","Daycent",22.8
1997,NA,"Crop Rotation","RothC",24.9933
1997,NA,"Crop Rotation","Millennial",23.7899714167514
1998,7.42418391979886,"Crop Rotation","Observed",29.46125
1998,NA,"Crop Rotation","APSIM",23.6
1998,NA,"Crop Rotation","Daycent",23.2
1998,NA,"Crop Rotation","RothC",24.9991
1998,NA,"Crop Rotation","Millennial",24.800044603119
1999,5.77417867536155,"Crop Rotation","Observed",23.91125
1999,NA,"Crop Rotation","APSIM",23.4
1999,NA,"Crop Rotation","Daycent",23.3
1999,NA,"Crop Rotation","RothC",24.8548
1999,NA,"Crop Rotation","Millennial",24.7468789532479
2000,5.03415900374631,"Crop Rotation","Observed",22.61625
2000,NA,"Crop Rotation","APSIM",23.5
2000,NA,"Crop Rotation","Daycent",23.3
2000,NA,"Crop Rotation","RothC",24.8182
2000,NA,"Crop Rotation","Millennial",24.9294988594576
2001,5.11207926141604,"Crop Rotation","Observed",21.41375
2001,NA,"Crop Rotation","APSIM",23.8
2001,NA,"Crop Rotation","Daycent",23.4
2001,NA,"Crop Rotation","RothC",24.7447
2001,NA,"Crop Rotation","Millennial",25.0687881406955
2002,NA,"Crop Rotation","Observed",NA
2002,NA,"Crop Rotation","APSIM",23.9
2002,NA,"Crop Rotation","Daycent",23.8
2002,NA,"Crop Rotation","RothC",24.7287
2002,NA,"Crop Rotation","Millennial",25.1268332513792
2003,NA,"Crop Rotation","Observed",NA
2003,NA,"Crop Rotation","APSIM",24
2003,NA,"Crop Rotation","Daycent",23.7
2003,NA,"Crop Rotation","RothC",24.689
2003,NA,"Crop Rotation","Millennial",25.7429847060822
2004,NA,"Crop Rotation","Observed",NA
2004,NA,"Crop Rotation","APSIM",24.3
2004,NA,"Crop Rotation","Daycent",23.9
2004,NA,"Crop Rotation","RothC",24.6056
2004,NA,"Crop Rotation","Millennial",26.3139474916787
2005,NA,"Crop Rotation","Observed",NA
2005,NA,"Crop Rotation","APSIM",24.2
2005,NA,"Crop Rotation","Daycent",23.9
2005,NA,"Crop Rotation","RothC",24.4018
2005,NA,"Crop Rotation","Millennial",26.102067731202
2006,NA,"Crop Rotation","Observed",NA
2006,NA,"Crop Rotation","APSIM",24.4
2006,NA,"Crop Rotation","Daycent",23.9
2006,NA,"Crop Rotation","RothC",24.3864
2006,NA,"Crop Rotation","Millennial",26.0149667542389
2007,NA,"Crop Rotation","Observed",NA
2007,NA,"Crop Rotation","APSIM",24.6
2007,NA,"Crop Rotation","Daycent",24.1
2007,NA,"Crop Rotation","RothC",24.3212
2007,NA,"Crop Rotation","Millennial",26.2699486855928
2008,NA,"Crop Rotation","Observed",NA
2008,NA,"Crop Rotation","APSIM",24.6
2008,NA,"Crop Rotation","Daycent",24.2
2008,NA,"Crop Rotation","RothC",24.1409
2008,NA,"Crop Rotation","Millennial",26.1680138895701
2009,NA,"Crop Rotation","Observed",NA
2009,NA,"Crop Rotation","APSIM",24.6
2009,NA,"Crop Rotation","Daycent",24.2
2009,NA,"Crop Rotation","RothC",24.1278
2009,NA,"Crop Rotation","Millennial",26.0635931645593
2010,NA,"Crop Rotation","Observed",NA
2010,NA,"Crop Rotation","APSIM",25
2010,NA,"Crop Rotation","Daycent",24.5
2010,NA,"Crop Rotation","RothC",24.0738
2010,NA,"Crop Rotation","Millennial",26.5904233488907
2011,NA,"Crop Rotation","Observed",NA
2011,NA,"Crop Rotation","APSIM",24.9
2011,NA,"Crop Rotation","Daycent",24.6
2011,NA,"Crop Rotation","RothC",23.9251
2011,NA,"Crop Rotation","Millennial",26.004636044481
2012,NA,"Crop Rotation","Observed",NA
2012,NA,"Crop Rotation","APSIM",24.9
2012,NA,"Crop Rotation","Daycent",24.5
2012,NA,"Crop Rotation","RothC",23.9729
2012,NA,"Crop Rotation","Millennial",25.8647372341574
2013,NA,"Crop Rotation","Observed",NA
2013,NA,"Crop Rotation","APSIM",25.1
2013,NA,"Crop Rotation","Daycent",24.9
2013,NA,"Crop Rotation","RothC",23.9757
2013,NA,"Crop Rotation","Millennial",26.6520669369709
2014,NA,"Crop Rotation","Observed",NA
2014,NA,"Crop Rotation","APSIM",25.1
2014,NA,"Crop Rotation","Daycent",25.2
2014,NA,"Crop Rotation","RothC",23.9765
2014,NA,"Crop Rotation","Millennial",26.6670712347094
2015,NA,"Crop Rotation","Observed",NA
2015,NA,"Crop Rotation","APSIM",25.1
2015,NA,"Crop Rotation","Daycent",25.1
2015,NA,"Crop Rotation","RothC",23.9975
2015,NA,"Crop Rotation","Millennial",27.342491650497
2016,NA,"Crop Rotation","Observed",NA
2016,NA,"Crop Rotation","APSIM",25.6
2016,NA,"Crop Rotation","Daycent",25.3
2016,NA,"Crop Rotation","RothC",23.9243
2016,NA,"Crop Rotation","Millennial",27.6919261942661
2017,NA,"Crop Rotation","Observed",NA
2017,NA,"Crop Rotation","APSIM",25.6
2017,NA,"Crop Rotation","Daycent",25.3
2017,NA,"Crop Rotation","RothC",23.6917
2017,NA,"Crop Rotation","Millennial",27.3356421051392
2018,NA,"Crop Rotation","Observed",NA
2018,NA,"Crop Rotation","APSIM",25.7
2018,NA,"Crop Rotation","Daycent",25.3
2018,NA,"Crop Rotation","RothC",23.7368
2018,NA,"Crop Rotation","Millennial",27.1219147201446
2019,NA,"Crop Rotation","Observed",NA
2019,NA,"Crop Rotation","APSIM",26
2019,NA,"Crop Rotation","Daycent",25.5
2019,NA,"Crop Rotation","RothC",23.7156
2019,NA,"Crop Rotation","Millennial",27.7289033039358
2020,NA,"Crop Rotation","Observed",NA
2020,NA,"Crop Rotation","APSIM",26.1
2020,NA,"Crop Rotation","Daycent",25.8
2020,NA,"Crop Rotation","RothC",23.6612
2020,NA,"Crop Rotation","Millennial",27.8903469094864
2021,NA,"Crop Rotation","Observed",NA
2021,NA,"Crop Rotation","APSIM",26.1
2021,NA,"Crop Rotation","Daycent",25.7
2021,NA,"Crop Rotation","RothC",24.2497
2021,NA,"Crop Rotation","Millennial",28.191570962866
1989,5.56777777708486,"No Till, Crop Rotation","Observed",27.51875
1989,NA,"No Till, Crop Rotation","APSIM",24.5
1989,NA,"No Till, Crop Rotation","Daycent",25.1
1989,NA,"No Till, Crop Rotation","RothC",29.1544
1989,NA,"No Till, Crop Rotation","Millennial",25.1601477503036
1990,NA,"No Till, Crop Rotation","Observed",NA
