"date","year","dayofyear","N2O_emit_gha","N2O_cum_gha","CH4_net_gha","CH4_cum_gha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1987-01-01,1987,1,0,0,NA,NA,"APSIM","3_3",3,3,""
1987-01-02,1987,2,0,0,NA,NA,"APSIM","3_3",3,3,""
1987-01-03,1987,3,0,0,NA,NA,"APSIM","3_3",3,3,""
1987-01-04,1987,4,0,0,NA,NA,"APSIM","3_3",3,3,""
1987-01-05,1987,5,0,0,NA,NA,"APSIM","3_3",3,3,""
1987-01-06,1987,6,0,0,NA,NA,"APSIM","3_3",3,3,""
1987-01-07,1987,7,0,0,NA,NA,"APSIM","3_3",3,3,""
1987-01-08,1987,8,0,0,NA,NA,"APSIM","3_3",3,3,""
1987-01-09,1987,9,0,0,NA,NA,"APSIM","3_3",3,3,""
1987-01-10,1987,10,0,0,NA,NA,"APSIM","3_3",3,3,""
1987-01-11,1987,11,0,0,NA,NA,"APSIM","3_3",3,3,""
1987-01-12,1987,12,0,0,NA,NA,"APSIM","3_3",3,3,""
1987-01-13,1987,13,0,0,NA,NA,"APSIM","3_3",3,3,""
1987-01-14,1987,14,0,0,NA,NA,"APSIM","3_3",3,3,""
1987-01-15,1987,15,0,0,NA,NA,"APSIM","3_3",3,3,""
1987-01-16,1987,16,0,0,NA,NA,"APSIM","3_3",3,3,""
1987-01-17,1987,17,0,0,NA,NA,"APSIM","3_3",3,3,""
1987-01-18,1987,18,0.02,0.02,NA,NA,"APSIM","3_3",3,3,""
1987-01-19,1987,19,0.03,0.05,NA,NA,"APSIM","3_3",3,3,""
1987-01-20,1987,20,0.03,0.08,NA,NA,"APSIM","3_3",3,3,""
1987-01-21,1987,21,0.03,0.11,NA,NA,"APSIM","3_3",3,3,""
1987-01-22,1987,22,0.03,0.14,NA,NA,"APSIM","3_3",3,3,""
1987-01-23,1987,23,0.03,0.17,NA,NA,"APSIM","3_3",3,3,""
1987-01-24,1987,24,0.02,0.19,NA,NA,"APSIM","3_3",3,3,""
1987-01-25,1987,25,0.02,0.21,NA,NA,"APSIM","3_3",3,3,""
1987-01-26,1987,26,0.01,0.22,NA,NA,"APSIM","3_3",3,3,""
1987-01-27,1987,27,0.01,0.23,NA,NA,"APSIM","3_3",3,3,""
1987-01-28,1987,28,0,0.23,NA,NA,"APSIM","3_3",3,3,""
1987-01-29,1987,29,0,0.23,NA,NA,"APSIM","3_3",3,3,""
1987-01-30,1987,30,0,0.23,NA,NA,"APSIM","3_3",3,3,""
1987-01-31,1987,31,0,0.23,NA,NA,"APSIM","3_3",3,3,""
1987-02-01,1987,32,0,0.23,NA,NA,"APSIM","3_3",3,3,""
1987-02-02,1987,33,0,0.23,NA,NA,"APSIM","3_3",3,3,""
1987-02-03,1987,34,0,0.23,NA,NA,"APSIM","3_3",3,3,""
1987-02-04,1987,35,0,0.23,NA,NA,"APSIM","3_3",3,3,""
1987-02-05,1987,36,0,0.23,NA,NA,"APSIM","3_3",3,3,""
1987-02-06,1987,37,0,0.23,NA,NA,"APSIM","3_3",3,3,""
1987-02-07,1987,38,0,0.23,NA,NA,"APSIM","3_3",3,3,""
1987-02-08,1987,39,0,0.23,NA,NA,"APSIM","3_3",3,3,""
1987-02-09,1987,40,0,0.23,NA,NA,"APSIM","3_3",3,3,""
1987-02-10,1987,41,0,0.23,NA,NA,"APSIM","3_3",3,3,""
1987-02-11,1987,42,0,0.23,NA,NA,"APSIM","3_3",3,3,""
1987-02-12,1987,43,0,0.23,NA,NA,"APSIM","3_3",3,3,""
1987-02-13,1987,44,0,0.23,NA,NA,"APSIM","3_3",3,3,""
1987-02-14,1987,45,0,0.23,NA,NA,"APSIM","3_3",3,3,""
1987-02-15,1987,46,0,0.23,NA,NA,"APSIM","3_3",3,3,""
1987-02-16,1987,47,0,0.23,NA,NA,"APSIM","3_3",3,3,""
1987-02-17,1987,48,0,0.23,NA,NA,"APSIM","3_3",3,3,""
1987-02-18,1987,49,0,0.23,NA,NA,"APSIM","3_3",3,3,""
1987-02-19,1987,50,0.01,0.24,NA,NA,"APSIM","3_3",3,3,""
1987-02-20,1987,51,0.02,0.26,NA,NA,"APSIM","3_3",3,3,""
1987-02-21,1987,52,0.03,0.29,NA,NA,"APSIM","3_3",3,3,""
1987-02-22,1987,53,0.03,0.32,NA,NA,"APSIM","3_3",3,3,""
1987-02-23,1987,54,0.04,0.36,NA,NA,"APSIM","3_3",3,3,""
1987-02-24,1987,55,0.06,0.42,NA,NA,"APSIM","3_3",3,3,""
1987-02-25,1987,56,0.07,0.49,NA,NA,"APSIM","3_3",3,3,""
1987-02-26,1987,57,0.08,0.57,NA,NA,"APSIM","3_3",3,3,""
1987-02-27,1987,58,0.08,0.65,NA,NA,"APSIM","3_3",3,3,""
1987-02-28,1987,59,0.08,0.73,NA,NA,"APSIM","3_3",3,3,""
1987-03-01,1987,60,0.08,0.81,NA,NA,"APSIM","3_3",3,3,""
1987-03-02,1987,61,0.08,0.89,NA,NA,"APSIM","3_3",3,3,""
1987-03-03,1987,62,0.07,0.96,NA,NA,"APSIM","3_3",3,3,""
1987-03-04,1987,63,0.05,1.01,NA,NA,"APSIM","3_3",3,3,""
1987-03-05,1987,64,0.04,1.05,NA,NA,"APSIM","3_3",3,3,""
