"year","SorghumYld_Mgha","CottonYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1987,0,0.184,2.7,"APSIM","1_64",1,6,4
1988,0,0.703,3.2,"APSIM","1_64",1,6,4
1989,0,1.382,3.6,"APSIM","1_64",1,6,4
1990,0,0.873,4,"APSIM","1_64",1,6,4
1991,0,1.104,4.8,"APSIM","1_64",1,6,4
1992,0,1.079,5.3,"APSIM","1_64",1,6,4
1993,0,0.279,5.6,"APSIM","1_64",1,6,4
1994,0,0.34,5.8,"APSIM","1_64",1,6,4
1995,0,0.618,5.8,"APSIM","1_64",1,6,4
1996,0,1.518,5.9,"APSIM","1_64",1,6,4
1997,0,1,6.2,"APSIM","1_64",1,6,4
1998,0,1.218,6.6,"APSIM","1_64",1,6,4
1999,0,0.498,6.7,"APSIM","1_64",1,6,4
2000,0,0.632,6.5,"APSIM","1_64",1,6,4
2001,0,0.216,6.7,"APSIM","1_64",1,6,4
2002,0,1.528,6.6,"APSIM","1_64",1,6,4
2003,2.39,0,7,"APSIM","1_64",1,6,4
2004,0,0.363,7.2,"APSIM","1_64",1,6,4
2005,3.018,0,7.2,"APSIM","1_64",1,6,4
2006,0,0.653,7.3,"APSIM","1_64",1,6,4
2007,3.961,0,7.3,"APSIM","1_64",1,6,4
2008,0,0.481,7,"APSIM","1_64",1,6,4
2009,2.187,0,7.1,"APSIM","1_64",1,6,4
2010,0,0.325,7.1,"APSIM","1_64",1,6,4
2011,0.482,0,26.6,"APSIM","1_64",1,6,4
2012,0,0.256,26.3,"APSIM","1_64",1,6,4
2013,1.95,0,26.1,"APSIM","1_64",1,6,4
2014,0,0.648,25.6,"APSIM","1_64",1,6,4
2015,3.393,0,25.3,"APSIM","1_64",1,6,4
2016,0,0.536,25.5,"APSIM","1_64",1,6,4
2017,3.612,0,25.3,"APSIM","1_64",1,6,4
2018,0,0.181,25.2,"APSIM","1_64",1,6,4
2019,2.703,0,25,"APSIM","1_64",1,6,4
2020,0,0.282,24.9,"APSIM","1_64",1,6,4
2021,3.546,0,24.8,"APSIM","1_64",1,6,4
2022,0,0.419,24.7,"APSIM","1_64",1,6,4
2023,1.282,0,24.8,"APSIM","1_64",1,6,4
2024,0,0.694,24.5,"APSIM","1_64",1,6,4
2025,2.657,0,24.5,"APSIM","1_64",1,6,4
2026,0,0.624,24.6,"APSIM","1_64",1,6,4
2027,2.447,0,24.3,"APSIM","1_64",1,6,4
2028,0,0.341,24.2,"APSIM","1_64",1,6,4
2029,1.597,0,24.3,"APSIM","1_64",1,6,4
2030,0,0.894,24.2,"APSIM","1_64",1,6,4
2031,2.668,0,24.1,"APSIM","1_64",1,6,4
2032,0,0.426,24.3,"APSIM","1_64",1,6,4
2033,3.052,0,24.2,"APSIM","1_64",1,6,4
2034,0,0.121,24.3,"APSIM","1_64",1,6,4
2035,3.504,0,23.9,"APSIM","1_64",1,6,4
2036,0,0.629,23.7,"APSIM","1_64",1,6,4
2037,1.98,0,23.8,"APSIM","1_64",1,6,4
2038,0,0.266,23.7,"APSIM","1_64",1,6,4
2039,0.457,0,23.8,"APSIM","1_64",1,6,4
2040,0,0.177,23.6,"APSIM","1_64",1,6,4
2041,2.323,0,23.5,"APSIM","1_64",1,6,4
2042,0,0.584,23.3,"APSIM","1_64",1,6,4
2043,3.299,0,23.1,"APSIM","1_64",1,6,4
2044,0,0.509,23.3,"APSIM","1_64",1,6,4
2045,3.717,0,23.3,"APSIM","1_64",1,6,4
2046,0,0.19,23.3,"APSIM","1_64",1,6,4
2047,2.695,0,23,"APSIM","1_64",1,6,4
2048,0,0.283,23.1,"APSIM","1_64",1,6,4
2049,3.401,0,23,"APSIM","1_64",1,6,4
2050,0,0.484,23,"APSIM","1_64",1,6,4
2051,0,0,23.2,"APSIM","1_64",1,6,4
2052,0,0,22.7,"APSIM","1_64",1,6,4
2053,0,0,22.1,"APSIM","1_64",1,6,4
2054,0,0,21.7,"APSIM","1_64",1,6,4
2055,0,0,21.3,"APSIM","1_64",1,6,4
2056,0,0,21,"APSIM","1_64",1,6,4
2057,0,0,20.9,"APSIM","1_64",1,6,4
